GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesGiveawaysStatus,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic.CategoryCode,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic.PurchaseType,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic.ClientType,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,BankApplicationStatus,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic.Industry,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,SalesInquiryStatic,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,CustomerInquiryFollowUpStatic.InquiryType,7,0,0,0,2,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,BankApplicationStatus.Reverse,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales.status,CustomerInquiryFollowUpStatic,67,323,17,7,18,26,14,4,3,3
cas-sales,ph.com.guanzongroup.cas.sales,SalesInquirySources,344,0,20,0,54,0,17,0,7,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesCommitment,2177,2253,194,152,387,431,145,91,15,43
cas-sales,ph.com.guanzongroup.cas.sales,SalesBankApplication,2655,0,214,0,488,0,156,0,41,0
cas-sales,ph.com.guanzongroup.cas.sales,CasSalesT1,7,0,0,0,3,0,2,0,2,0
cas-sales,ph.com.guanzongroup.cas.sales,RequirementsSource,590,0,38,0,98,0,29,0,10,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesAgent,1715,0,139,0,336,0,96,0,23,0
cas-sales,ph.com.guanzongroup.cas.sales,CustomerInquiryFollowUp,1121,1968,95,111,163,335,75,61,4,27
cas-sales,ph.com.guanzongroup.cas.sales,RequirementsSourcePerGroup,912,0,54,0,145,0,43,0,16,0
cas-sales,ph.com.guanzongroup.cas.sales,SalesAgent.SalesAgentConstants,3,0,0,0,1,0,1,0,1,0
cas-sales,ph.com.guanzongroup.cas.sales,Salesman,1134,86,86,4,180,16,60,4,15,4
cas-sales,ph.com.guanzongroup.cas.sales,SalesGiveaways,1618,845,153,69,287,162,109,48,12,29
cas-sales,ph.com.guanzongroup.cas.sales,SalesInquiry,7602,145,615,0,1270,35,424,7,107,7
cas-sales,ph.com.guanzongroup.cas.sales.services,SalesModels,220,321,38,18,68,91,33,11,5,11
cas-sales,ph.com.guanzongroup.cas.sales.services,SalesControllers,337,191,32,8,93,53,26,6,6,6
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiry_MP,522,0,50,0,108,0,45,0,17,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiryValidatorFactory,37,0,7,0,9,0,8,0,2,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiryRequirements,97,0,6,0,25,0,12,0,9,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesCommitmentValidator,204,376,22,35,43,75,21,22,3,10
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiry_Vehicle,584,0,62,0,118,0,51,0,17,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiry_LP,522,0,50,0,108,0,45,0,17,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiry_Appliances,522,0,50,0,108,0,45,0,17,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiry_MC,553,0,56,0,113,0,48,0,17,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,SalesInquiry_Monarch,522,0,50,0,108,0,45,0,17,0
cas-sales,ph.com.guanzongroup.cas.sales.validator,BankApplication,380,0,29,0,83,0,29,0,13,0
cas-sales,ph.com.guanzongroup.cas.sales.model,Model_Sales_Agent,221,0,8,0,49,0,22,0,18,0
cas-sales,ph.com.guanzongroup.cas.sales.model,Model_Sales_Commitment_Master,501,498,63,5,105,103,57,50,24,49
